IBRA - Carteira do Dia 17/07/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RENT3;LOCALIZA;ON      NM;841.062.110;2,489;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,145;
LOGG3;LOG COM PROP;ON      NM;59.529.517;0,056;
LOGN3;LOG-IN;ON      NM;25.678.035;0,054;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,733;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,127;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,366;
POMO4;MARCOPOLO;PN  EJ  N2;554.935.063;0,124;
MRFG3;MARFRIG;ON      NM;292.587.273;0,094;
MATD3;MATER DEI;ON      NM;81.005.456;0,035;
CASH3;MELIUZ;ON      NM;69.155.277;0,024;
LEVE3;METAL LEVE;ON      NM;38.492.518;0,075;
MILS3;MILLS;ON      NM;179.572.360;0,092;
BEEF3;MINERVA;ON      NM;260.340.982;0,111;
MOVI3;MOVIDA;ON      NM;131.875.326;0,059;
MRVE3;MRV;ON      NM;305.322.465;0,170;
MLAS3;MULTILASER;ON      NM;450.398.188;0,051;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,308;
NEOE3;NEOENERGIA;ON      NM;196.252.888;0,179;
ODPV3;ODONTOPREV;ON      NM;258.856.632;0,134;
MEGA3;OMEGAENERGIA;ON      NM;336.491.611;0,159;
ONCO3;ONCOCLINICAS;ON      NM;236.664.399;0,104;
ORVR3;ORIZON;ON      NM;45.569.362;0,072;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,143;
PGMN3;PAGUE MENOS;ON      NM;153.643.886;0,026;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,207;
PETR4;PETROBRAS;PN      N2;4.566.511.125;5,733;
RECV3;PETRORECSA;ON      NM;276.798.795;0,244;
PRIO3;PETRORIO;ON      NM;839.159.130;1,506;
PETZ3;PETZ;ON      NM;335.865.260;0,091;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,222;
PTBL3;PORTOBELLO;ON      NM;54.516.127;0,018;
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,026;
QUAL3;QUALICORP;ON      NM;277.896.899;0,054;
LJQQ3;QUERO-QUERO;ON      NM;178.909.429;0,043;
RADL3;RAIADROGASIL;ON  EJ  NM;1.243.912.161;1,528;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,212;
RAPT4;RANDON PART;PN      N1;177.742.165;0,092;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,513;
ROMI3;ROMI;ON      NM;45.091.815;0,031;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,179;
SBSP3;SABESP;ON      NM;340.002.999;0,801;
SAPR11;SANEPAR;UNT     N2;201.081.484;0,179;
SANB11;SANTANDER BR;UNT;355.642.848;0,450;
STBP3;SANTOS BRP;ON  EDJ NM;858.685.799;0,365;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,204;
SEQL3;SEQUOIA LOG;ON      NM;181.071.053;0,010;
SEER3;SER EDUCA;ON      NM;52.472.207;0,011;
CSNA3;SID NACIONAL;ON;589.695.175;0,329;
SIMH3;SIMPAR;ON      NM;226.890.081;0,088;
SQIA3;SINQIA;ON      NM;71.791.033;0,067;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,185;
SMFT3;SMART FIT;ON      NM;291.407.018;0,265;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,399;
TAEE11;TAESA;UNT     N2;218.568.234;0,342;
TASA4;TAURUS ARMAS;PN      N2;68.488.391;0,043;
TRAD3;TC;ON      NM;88.743.824;0,005;
VIVT3;TELEF BRASIL;ON;423.091.712;0,740;
TEND3;TENDA;ON      NM;95.672.515;0,048;
TIMS3;TIM;ON      NM;808.436.195;0,491;
TOTS3;TOTVS;ON      NM;513.869.896;0,654;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,428;
TRIS3;TRISUL;ON      NM;71.350.796;0,017;
TUPY3;TUPY;ON      NM;67.547.494;0,074;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,928;
UNIP6;UNIPAR;PNB;45.791.987;0,157;
USIM5;USIMINAS;PNA     N1;515.014.562;0,167;
VALE3;VALE;ON      NM;4.448.529.763;13,191;
VAMO3;VAMOS;ON      NM;433.114.868;0,213;
VIIA3;VIA;ON      NM;1.576.975.642;0,132;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,830;
VIVA3;VIVARA S.A.;ON      NM;99.216.524;0,119;
VULC3;VULCABRAS;ON      NM;73.359.191;0,055;
WEGE3;WEG;ON      NM;1.481.593.024;2,305;
WIZC3;WIZ CO;ON      NM;75.275.228;0,020;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,241;
ZAMP3;ZAMP S.A.;ON      NM;270.582.179;0,047;
Quantidade Teórica Total;;;115.208.519.063;100,000
Redutor;;;497.938.405,65705139
